@relation datatest

@attribute Sms string
@attribute class{'spam', 'NotSpam'}

@data

"PESAN RESMI dari Bima 3Care, Slmt Anda mdpt Hadiah 1 Unit Mobil Honda JAZZ RS. No. PIN Pemenang Anda: 25AS547. Utk Info Kunjungi www.gebyarhadiah-bima3.jimdo.com",spam
"Dapatkan Segera TIKET Murah & Promo DiTRAVEL Kmi.Untuk Penerbangan Domestik & Internasional ONLINE BOOKING 24 Jam Anda Berminat Hub:085318303276",spam
"Tolong uangnya dikirim aja kesini BANK DANAMON a/n Farida hanum No rek; 0035-3918-4014. SMS aja klo udah dikirim.Trims",spam
"Sy RUDI di jambi. bgi tman2 yg sering kalah Togel saatnya kalahkan bandar hub mbah ROS 082325557768 di jamin tembus. sy sdh buktikan 4D 50jt.",spam
"Penawaran terbatas software SMS gateway utk iklan SMS. pilkada. sekolah. instansi. kampus dll. Harga promo rp. 100.000 hub:jasa advertising corp 085727088813 24jam.",spam
"plg yth no. Anda terpilih menang cek Rp.100jt dr PT.TELKOMSEL HUT TELKOMSEL Ke-17 thn 2012 hub call center: 085313311113",spam
"Dapatkan Segera TIKET Murah & Promo DiTRAVEL Kmi.Untuk Penerbangan Domestik & Internasional ONLINE BOOKING 24 Jam Anda Berminat Hub:085318303276",spam
"Tolong uangnya dikirim aja kesini BANK DANAMON a/n Farida hanum No rek; 0035-3918-4014. SMS aja klo udah dikirim.Trims",spam
"Sy RUDI di jambi. bgi tman2 yg sering kalah Togel saatnya kalahkan bandar hub mbah ROS 082325557768 di jamin tembus. sy sdh buktikan 4D 50jt.",spam
"Penawaran terbatas software SMS gateway utk iklan SMS. pilkada. sekolah. instansi. kampus dll. Harga promo rp. 100.000 hub:jasa advertising corp 085727088813 24jam.",spam
"Di transfer saja Uangnya ke rekening BNI ini. a/n. ISMAWATI. Rek: 0248147033. SMS saja klo sdh kirim.",spam
"Uangnya dikirim saja ke Rek. BANK BNI A/n. : Sdr ABDUL RAHMAN No. Rek. : 024-8721-191 SMS saja kalau sudah dikirim. terima kasih",spam
"Transfer saja uangnya ke rek ini.mandiri.NO Rek: 152-00-1236312-9.a/n:DARMAN. klau sdah di Transfer SMS saja ke nmor ini Trima kasih",spam
"Seminar ke Denpasar Bali mewakili kemahasiswaan & kewirausahaan dapat biaya transport Rp 10 juta. Nomor Peserta 100/semnas/9997175/dikti/2011. Direktur Kemahasiswaan DIKTI Prof. Dr. Joko Purwanto. M.Si. Hubungi 081281108799 Wahyudin Zarkasi. No. referensi PTX:001/3591/0100/1572/503",spam
"Yth Isti Sofiyah. Diminta Segera Hubungi Bpk Drs.H .Lalu S i’ i M.P . K i i NT . 08531166 6557 Perihal Seminar Gratis Dari DIKTI. (Bu Sri TU.Diknas)",spam
"Butuh Dana Tunai Cepat 25-250 Juta Dgn Bunga Rendah 1.35% Flat/Bln Proses Dijamin 3 Hari Syarat Mudah Info Ibu YANI : 081218986001",spam
"Dijual ticket SUPER JUNIOR TGL 28/29 APRIL dan LADY GAGA TGL 03 JUNI harga Gold=2.25jt tribun3=1.25jt info hub;0853-9937-1888 lady-ticket.webs.com",spam
