@relation newArff

@attribute Sms string
@attribute class{'spam', 'NotSpam'}

@data
"pesan resmi dari bima ecare slmt anda mdpt hadiah 1 unit mobil honda jazz rs no pin menang anda rsassaj utk info kunjung wgebyarhadiah - _url_",spam
"dapat segera tiket murah promo ditravel kmiuntuk terbang domestik internasional online booking 24 jam anda minat hub085318303 - 08531830376",spam
"tolong uang kirim saja sini bank danamon an farida hanum no rek 0035 - 3918 - 4014 sms saja kalau sudah dikirimtrims",spam
"sy rudi di jambi bgi tman - tman sering kalah togel saat kalah bandar hub mbah ros 0823 - 08235557768 di jamin tembus saya sudah bukti ad sojt",spam
"tawar batas software sms gateway iklan sms pilih kepala daerah sekolah instansi kampus dll harga promo rp 100000 hubjasa advertising corp 0857 - 08577088813 rajam",spam
"paling yth no anda pilih menang cek rp100jt dari pttelkomsel hut telkomsel ke - 17 tahun 201 - 201 hub call center 085313311113",spam
"dapat segera tiket murah promo ditravel kmiuntuk terbang domestik internasional online booking 24 jam anda minat hub085318303 - 08531830376",spam
"tolong uang kirim saja sini bank danamon an farida hanum no rek 0035 - 3918 - 4014 sms saja kalau sudah dikirimtrims",spam
"sy rudi di jambi bgi tman - tman sering kalah togel saat kalah bandar hub mbah ros 0823 - 08235557768 di jamin tembus saya sudah bukti ad sojt",spam
"tawar batas software sms gateway iklan sms pilih kepala daerah sekolah instansi kampus dll harga promo rp 100000 hubjasa advertising corp 0857 - 08577088813 rajam",spam
"di transfer saja uang ke rekening bni ini an ismawati rek 0 - 048147033 sms saja kalau sudah kirim",spam
"uang kirim saja ke rek bank bni an sdr abdul rahman no rek 0 - 04 - 87 - 871 - 191 sms saja kalau sudah kirim terima kasih",spam
"transfer saja uang ke rek inimandirino rek 15 - 15 - 00 - 123631 - 1 - 13631 - 9andarman klau sdah di transfer sms saja ke nmor ini trima kasih",spam
"seminar ke denpasar bal wakil mahasiswa kewirausahaan dapat biaya transport rp 10 juta nomor serta 100semnas9997175dikti2011 direktur mahasiswa dikti prof dr joko purwanto msi hubung 081 - 08181108799 wahyudin zarkasi no referensi ptx001359101001572503",spam
"yth isti sofiyah minta segera hubung bpk drsh lalu s i i mp k i i nt 08531166 6557 perihal seminar gratis dari dikti bu sri tudiknas",spam
"butuh dana tunai cepat 25 - 250 juta dgn bunga rendah 135 flatbln proses jamin 3 hari syarat mudah info ibu yani 081 - 08118986001",spam
"jual ticket super junior tgl 2829 april dan lady gaga tgl 03 juni harga gold225jt tribun3125jt informasi hub0853 - 9937 - 1888 lady - _url_",spam
"meganai ruma bpkibu mau di jual sd di surpai dan saya minat saya telepon tidak bisa tembus masalah harga hub suami saya 085399700354 drhirawan",spam
"manfaat segera creditcard anda apply pinjam 20 - rsojt ada cashback minat hub bintang 0 - 01 - _url_",spam
"nasabah yth dapat solusi masalah uang anda 10 sd 300 jt rate _url_ ehr syrat ktp card infoabu telepon 8362211 - 8362 - 836211 hp 08129822 - 08129822100",spam
"bagai promo blackberry onyx - nyx 9780 rp15jt torch 9800 rp - pjt info smshub 085322 - 08532215000 akunjungiwhary - shop - _url_",spam
"uang di trnsfer di bni ini saja an rastina norek0 - 053 7915 37klo sudah di trnsfer sms i i i 085 - 08593355598 t d i 62853159045 - 628531590458",spam
"tolong uang kirim saja sini bank danamon an farida hanum10no rek 0035 - 3918 - 4014 sms saja kalau sudah dikirimtrims",spam
"tolong kirimin mama pulsa skrng penting jangan telpon balik mama lagi di kantor polisi",spam
"ini bapak lagi pinjam hp _url_ belikan bapak pls rorb ke nomor ini 0852151264 - 08521512648 bapak lagi ada masalah di kntr polisi jgn di tlpnsms dulu nnti bapak _url_ pnting",spam
"prima cell cari agen jual pulsa all oprator harga ps 4500 p108500 p2017000 p5045000 u info ketikprima kirim ke085322 - 08532213339 atau hub cs082347 - 08234788777",spam
"maaf saya ibu johar lanjut hasil survey hadap rumah ibu mau jual kami rasa itu cocok dan minat uinfo harga mohon hub suami saya bpk h laode hp 081 - 08110511553",spam
"nikmat paket hemat blackberry axis di tanah suci hanya rp69500minggu sebar berita baik ini ke kerabat kamu akan umroh axis jamin hematnyaiinfobeb",spam
"tawar batas software sms gateway iklan sms pilih kepala daerah sekolah instansi kampus dll harga promo rp 100000 hubjasa advertising corp 0857 - 08577088813 rajam",spam
"saya martinus minta tolong krmkan pulsa ke no081386641 - 0813866419 berapa saja buat hub keluarga tmn saya celaka di tengah hutan kondisi sangat parah sblmnya terima kasih kasih",spam
"tolong belikan dulu mama pulsa _url_ di nomor baru mama ini nomor 08128410452 - 0812841045 - 0812841045 cepat ya penting nanti mama ganti uang sekarang mama tunggu iya",spam
"maaf lalu sms kalau mau di _url_ atau bayar sewa kontrak rumah ke adik saya herdian hp 085222 - 08522288580 _url_ da di kuasakandi jual ke adik trimks",spam
"sidamuncul sidomunculselamat simcard anda ndpt hadiah rp15jt dari kukubima ener - gi uinfo hub kantor ptsidomuncul 130 - 01 - 4919 1 - 167",spam
"berani cellular diskon 50 bagai promo type blackberry dakota 26jt torch rjt onyxr 18jt info smscall 085339821 atau kunjung wblogspotcom",spam
"sahril memperbaharui status bahagia kamu di sana lihat lengkap di _url_ balas komentar atau suka",spam
"paling yth no anda pilih menang cek rp100jt dari pttelkomsel hut telkomsel ke - 17 tahun 201 - 201 hub call center 085313311113",spam
"game togel online rupiah asli main live streaming dingdong hanya di _url_ situs toto gelap baik diskon hadiah baik di kelas",spam
"ayana village rumah cantik ioojt an ruko eoojt an dkt stasiun eraksa cicil 15 tahun pasti disetujui event 21 agst 16 menara top food alam sutra 08229777190 - 082 - 0829777190",spam
"poker online no bot bonus referral cashback mega regular jackpot nilai ratus juta join di _url_ min dp rsrb sedia aplikasi android",spam
"dana tunai gadai bpkb mobilmotor non bi checking bunga rendah provisi 0 1 hari cair manya tenor 4 thn rio 08132222 - 08132222749 08191222 - 08191222961 sfbibjab",spam
"kredit multiguna gadai bpkb mobil sertifikat shm bunga rendah 1 hari cair non bi checking non provisi manya tenor 4 thn 58102 - 58102447908",spam
"rek mandiri an novie riawati no rek 9000034880956",spam
"ayah isiin dulu plsa as rorb di nomor 0853 - 08535071137 skrng penting",spam
"bagi yang minat karpet karakter bulu rasfur untuk penguna blackberr invet pin toko kami rajbifdc dang untuk penguna android invet pin sfaeaere",spam
"solusi uang gadai bpkb mobil motor no bi checkingbunga rendah provisi 0leasing resmi1 hari cair chika 081222 - 08122278663",spam
"grosir harga pabrik celana jacket american jeans nevada polo all denim lokasi gudang bandung cek datang angkut 100 original informasi 082 - 08215151503",spam
"tnp gun sampai roojt minat andi 0822980034 - 08229800345",spam
"berkah ramadhan nomor anda pilih bagai menang dari ptindosat_kode pin anda - 87ch311d2utk info hadiah klik _url_",spam
"mau nambah modal usahainnova u travel jminkan bpkb mobil b u n g a m ulai 08 financial perca iya resmitbk mariani 08 - 08337550478 085888 - 08588816050",spam
"utk anda hobi game silah dftr di _url_ 100 fair game player vs player nomor admin nomor robot terima kasih",spam
"maisiin pulsa ime rsrb di nomor 085850306447 sekarang penting",spam
"bpibu ythdptkan pinjam jamin bpkb mobiltruckproses cptaman tanpa cek bibisa se - indonesiacall ira 085891868917 wa 089689904339abaikan jk tidak minat",spam
"dapat tiket nonton gratis up to 375000 tiap bulan proteksi sehat seluruh keluarga daftar segera di 200700 sedia batas",spam
"apply now pinjeman dana tunai kta 5 - 200 jt syarat copy ktp kartukredit jika tidak ada cc pakai bpkb mobil hub ketty 0811822452085883881815",spam
"solusi dana tunai jamin bpkb mbltruck bs take over mudahcpt rate rendah finance resmi bpkb pasti aman info hub lim 0857700 - 08577009405 087775557115 082299 - 08229915199",spam
"salam succes pl 200 - soojt 200jt77783thn rate 111 promo gratis provisi cashback ejt hub sms 085 - 08583834836 baim",spam
